Clinic,ZipCode,AveAge,TotalPatients,Type,PublicPrivate,TrainedStaff,Falls,Injuries,Strategy,FallsPer1000,Borough
57,10003,33,10433,Inpatient,Private,Yes,100,47,Regulation,9.584970766,Manhattan
65,10007,47,1681,Inpatient,Private,Yes,16,13,Regulation,9.518143962,Manhattan
6,10009,77,10578,Inpatient,Private,No,143,55,Nudge,13.51862356,Manhattan
43,10010,76,911,Inpatient,Private,No,28,14,None,30.73545554,Manhattan
14,10012,52.5,2179,Inpatient,Private,Yes,19,8,Nudge,8.719596145,Manhattan
59,10019,61,4236,Inpatient,Private,Yes,27,12,Regulation,6.373937677,Manhattan
30,10024,39.5,453,Inpatient,Private,Yes,3,2,Nudge,6.622516556,Manhattan
24,10025,56,1668,Inpatient,Private,Yes,13,7,Slippers,7.793764988,Manhattan
53,10029,35,12920,Outpatient,Public,No,91,35,Regulation,7.043343653,Manhattan
25,10036,41.5,11083,Inpatient,Private,Yes,82,52,Regulation,7.398718758,Manhattan
7,10037,58.5,10034,Inpatient,Private,Yes,102,49,Regulation,10.16543751,Manhattan
13,10038,63,10162,Outpatient,Private,No,152,63,None,14.95768549,Manhattan
69,10041,82,2599,Inpatient,Private,Yes,47,38,None,18.08387841,Manhattan
97,10079,37.5,4341,Both,Private,Yes,25,14,Regulation,5.759041695,Manhattan
82,10080,64.5,12995,Both,Private,Yes,109,50,Nudge,8.387841477,Manhattan
62,10082,61.5,9467,Both,Private,No,113,47,Nudge,11.93619943,Manhattan
54,10098,40,6554,Inpatient,Private,Yes,38,23,Nudge,5.797985963,Manhattan
89,10099,52,9846,Inpatient,Private,No,116,36,None,11.78143408,Manhattan
77,10102,74,2982,Outpatient,Public,No,62,37,None,20.79141516,
1,10103,41,4252,Inpatient,Private,Yes,27,17,Regulation,6.349952963,
55,10105,80,10192,Outpatient,Public,No,129,46,None,12.65698587,
45,10108,46.5,12498,Both,Private,No,97,46,Regulation,7.761241799,
19,10111,55,12900,Inpatient,Private,Yes,91,36,Regulation,7.054263566,
26,10113,73,1440,Both,Private,No,34,15,None,23.61111111,
15,10114,62.5,13765,Both,Private,No,104,52,Regulation,7.555394116,
48,10115,67.5,10987,Outpatient,Private,No,93,50,Slippers,8.464549012,
72,10117,49,2837,Both,Private,Yes,19,10,Slippers,6.697215368,
60,10119,58.5,6602,Outpatient,Public,Yes,51,21,Slippers,7.724931839,
44,10120,47,6878,Both,Private,Yes,44,25,Slippers,6.397208491,
